issue,title,primary finding,validator comment,status,root cause (URL),size,robotLabel
validation-226,Memory can still be charged for even if there is no expansion,validation-226,off-by-one error while MemoryExpansion at L88,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/gas.cairo#L88,18,:robot:_primary
validation-225,Current memory length is computed incorrectly inside `calculate_gas_extend_memory`,validation-225,another off-by-one error while MemoryExpansion at L87,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/gas.cairo#L87,19,:robot:_08_group
validation-213,No way to cancel l1 -< l2 messages ,findings-36,dup of findings-36,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/697100af34444b3931c18596cec56c454caf28ed/src/kakarot/kakarot.cairo#L370,19,:robot:_09_group
validation-217,Nonce is incorrectly set for reverted create txs ,validation-217,caller's Nonce is wrongly increased during contract create() while balance not enough,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L1024,20,:robot:_59_group
validation-191,Precompiles that go out of gas still contain returndata,validation-191,Should not return data while Precompile calls run out of gas,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L94-L100,20,:robot:_14_group
validation-176,Selfdestruct opcode transfers ETH to the wrong address,validation-176,inconsistent usage of ETH burn addess,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/instructions/system_operations.cairo#L832,20,:robot:_13_group
validation-161,All ether is removed from selfdestructed contracts at the end of the transaction ,validation-161,Funds received after selfdestruct should be burned or kept?,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/backend/starknet.cairo#L189-L201,21,:robot:_13_group
validation-224,Infinite mint by invoking `handle_l1_message` with an account with insufficient balance,findings-30,dup of findings-30,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L950,26,:robot:_primary
validation-93,Malicious Starknet contract entered via Cairo precompile can replay legitimate transactions,findings-64,dup of findings-64,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/accounts/account_contract.cairo#L333,31,:robot:_62_group
validation-237,Insufficient check on s-value can cause signature malleability,findings-13,"Valid but QA at most, as signatures are not used for checking unique of message",Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/signature.cairo#L10-L35,37,:robot:_33_group
findings-57,Kakarot's write_account_bytecode external function leaves stale valid jumpdests,findings-57,Admin's manual call of write_account_bytecode()causes mismatch of jumpdest and bytecode,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/kakarot.cairo#L299,38,:robot:_primary
findings-15,DualVMToken@totalSupply does not account for the high part total_supply ,findings-61,dup of findings-61,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/CairoPrecompiles/DualVmToken.sol#L80-L83,39,:robot:_41_group
validation-261," In exec_create, if unable to transfer value, evm should be returned, not child_evm",validation-261,should return current evm rather than child evm while caller's balance is not enough,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/instructions/system_operations.cairo#L197,42,:robot:_primary
findings-55,Users can permanently lose funds when L1->L2 messages fail to process,findings-36,dup of findings-36,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/697100af34444b3931c18596cec56c454caf28ed/src/kakarot/kakarot.cairo#L370,42,:robot:_primary
